LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01028830,"371,399.07","292,649.48",44,0,0
E01028831,"370,684.85","292,869.74",46,0,0
E01028832,"371,875.87","293,127.32",47,0,0
E01028833,"371,417.61","293,569.59",44,0,0
E01028834,"372,855.89","292,372.32",37,0,0
E01028835,"372,211.14","292,561.69",35,0,0
E01028836,"370,615.79","293,513.52",29,0,0
E01028837,"370,790.48","293,888.48",25,0,0
E01028838,"367,641.22","301,729.24",51,0,0
E01028839,"368,235.22","301,577.81",37,0,0
E01028840,"367,143.98","302,488.76",49,0,0
E01028841,"367,139.04","301,173.71",84,0,0
E01028842,"377,422.91","291,780.27",11,0,0
E01028843,"363,004.22","284,337.29",93,0,0
E01028844,"379,726.17","307,730.22",18,0,0
E01028846,"370,772.72","288,531.87",61,0,0
E01028847,"374,132.19","302,228.87",86,0,0
E01028848,"373,703.43","283,841.02",47,0,0
E01028849,"373,984.73","283,774.98",52,1,0
E01028850,"367,716.81","294,437.80",74,0,0
E01028851,"360,470.93","297,175.62",91,0,0
E01028852,"362,224.46","300,328.45",67,0,0
E01028853,"375,012.75","308,264.19",32,0,0
E01028854,"374,599.22","308,183.59",32,0,0
E01028855,"375,163.44","306,551.94",63,0,0
E01028856,"374,919.29","307,672.03",38,0,0
E01028857,"376,107.78","311,249.18",74,0,0
E01028858,"369,954.47","280,015.55",188,0,0
E01028859,"375,657.06","295,924.48",52,0,0
E01028863,"343,290.87","329,447.61",31,0,0
E01028864,"336,739.38","337,151.65",78,0,0
E01028865,"339,648.38","335,061.85",47,0,0
E01028866,"341,818.00","335,423.78",72,0,0
E01028867,"339,544.52","334,673.64",42,1,0
E01028868,"371,596.50","325,904.50",2,0,0
E01028869,"368,689.29","322,202.86",7,0,0
E01028870,"357,895.00","331,667.00",1,0,0
E01028872,"339,497.80","332,308.93",80,0,0
E01028880,"355,801.53","333,412.04",53,0,0
E01028881,"357,027.96","334,914.49",45,0,0
E01028882,"360,264.19","337,449.23",31,0,0
E01028888,"346,474.50","331,144.75",4,0,0
E01028891,"354,326.98","341,706.91",54,0,0
E01028892,"353,932.95","342,307.40",40,0,0
E01028893,"355,981.38","339,319.64",81,0,0
E01028894,"354,323.38","340,949.28",39,0,0
E01028895,"354,768.29","341,349.66",56,0,0
E01028896,"353,747.29","341,075.28",58,0,0
E01028897,"353,368.18","341,472.39",33,0,0
E01028898,"351,227.15","334,935.06",82,0,0
E01028902,"329,767.16","329,925.03",31,0,0
E01028903,"330,017.47","329,848.36",36,0,0
E01028904,"329,775.70","329,168.63",40,0,0
E01028905,"330,163.22","329,318.56",36,0,0
E01028906,"329,121.74","329,599.63",65,0,0
E01028907,"328,954.56","328,997.89",62,0,0
E01028908,"329,107.02","330,027.31",42,0,0
E01028909,"329,467.56","330,298.15",41,0,0
E01028910,"328,498.85","333,088.33",80,0,0
E01028911,"330,507.19","334,168.54",48,0,0
E01028912,"330,372.63","333,559.43",35,1,0
E01028913,"333,041.70","320,631.89",74,0,0
E01028914,"326,017.94","323,582.15",48,0,0
E01028915,"327,278.38","321,761.71",48,0,0
E01028916,"328,413.31","330,010.37",49,0,0
E01028917,"328,587.96","329,591.71",52,0,0
E01028918,"334,937.06","325,966.06",62,0,0
E01028919,"335,853.00","324,806.71",7,0,0
E01028920,"332,163.25","336,950.52",52,0,0
E01028921,"332,501.14","336,738.80",56,0,0
E01028922,"329,939.13","326,124.67",78,0,0
E01028923,"325,502.04","327,015.09",75,0,0
